sentence1,relation,relationscore,structure,structurescore
When will my device get the Android 4.1 update (Jelly Bean)?,Android 4.1 update (Jelly Bean) will get my device when?,2,"Jelly Bean update (Android 4.1), when will my device get it?",5
Automated adding of one tag to all the posts in a category,All the posts in a category automated adding of one tag to me.,2,"Adding one tag to all the posts in a category, automated.",5
Metric by which to hold developers accountable,Developers accountable by which metric to hold?,2,By which metric to hold developers accountable?,5
Old pages still appearing in Google?,Google still appearing in old pages?,2,"Still appearing in Google, old pages?",5
"Word meaning ""nearby in time""","""Nearby in time"" meaning word?",2,Word meaning nearby in time?,5
Dependent Bernoulli trials,Bernoulli trials dependent on me.,2,Bernoulli trials dependent?,5
Merge polygons into a single polygon,A single polygon will merge into polygons.,3,"Into a single polygon, how to merge polygons?",5
Why does a computer science degree matter to a professional programmer?,A professional programmer matters to a computer science degree.,2,Does a professional programmer require a computer science degree?,5
How to protect text from being split by a float?,A float can split text from being protected.,3,"From being split by a float, how to protect text?",5
What is the best way to maximize gold find in Diablo 3?,The worst way to minimize gold find in Diablo 3.,1,"In Diablo 3, what is the best way to maximize gold find?",5
Separate labels in cases,Cases in separate labels.,5,How to separate labels in cases?,4
Question mark instead of citation number,Citation number instead of a question mark.,3,"Instead of citation number, how to use a question mark?",5
"a good VPS to grow into (cheap at start, multiple sites, php and python, easily custom-configurable)","A bad VPS to shrink from (expensive at start, single site, no php and python, difficult to custom-configure).",5,"What is a good VPS that can be easily custom-configured, supports multiple sites, and is cheap to start with?",4
When will Android 2.2 be ready for HTC Wildfire with Sense (from Germany),"HTC Wildfire with Sense (from Germany), when will Android 2.2 be ready for me?",4,"From Germany, when will Android 2.2 be ready for HTC Wildfire with Sense?",4
Coordinate Conversion: Decimal Degree to Deg-Min-Sec of lat/long Coordinates,"Deg-Min-Sec of lat/long Coordinates, how to convert me from Decimal Degree?",2,"Deg-Min-Sec of lat/long coordinates, decimal degree to coordinate conversion?",3
Run gui application on startup,"Startup, run me as a gui application.",4,"On startup, run GUI application?",5
Table and figure side-by-side with independent captions,"Independent captions, table and figure side-by-side with me.",4,Independent captions for table and figure side-by-side.,5
How to accurately explain evaporative cooling?,"Evaporative cooling, how to inaccurately explain me?",2,How to explain evaporative cooling accurately?,4
"Is it acceptable to begin a declarative sentence with ""Am""?","""Am"", declarative sentence, is it acceptable to begin with me?",2,"Beginning a declarative sentence with 'Am', is it acceptable?",4
Questions to ask before someone leaves,"Someone leaves, questions to ask before me.",4,"Before someone leaves, what are the questions to ask?",5
Is there a way to increase the maximum horizon render distance in Minecraft?,"Minecraft, how to decrease the maximum horizon render distance?",1,Can the maximum horizon render distance in Minecraft be increased?,5
How do I kill a giant?,"Giant, how do I kill me?",2,How to kill a giant?,5
Order of HTML meta tags,Meta tags HTML of order,2,What is the order of HTML meta tags?,5
Basic buoyancy question: Man in a boat with a stone,Stone in a boat with a man buoyancy question advanced,2,Man in a boat with a stone: basic buoyancy question.,5
page number position,Position number page,2,Position of page numbers?,5
Entry point of linux kernel,Linux kernel entry point is where I am,2,Linux kernel entry point?,5
all but at most one - What does it mean?,"At most one, but all except - What does it mean?",2,What does 'all but at most one' mean?,5
Is there any way to see progress towards achievements in Civ 5?,"Progress towards achievements in Civ 5, is there any way to see it?",2,Is there a way to track progress towards achievements in Civ 5?,5
Switching to superuser while shell script is running,Superuser is switching to me while shell script is running.,5,"While shell script is running, switching to superuser, how?",3
Where is the right place to register/enqueue scripts & styles,Where is the right place to register/enqueue styles & scripts?,5,"Registering/enqueuing scripts & styles, where is the right place?",3
Difference between an acronym and abbreviation?,Difference between abbreviation and acronym?,5,"Abbreviation and acronym, what's the difference?",3
Do you think that exposure to BASIC can mutilate your mind?,Do you think that BASIC can mutilate your mind by exposing it?,5,"Can exposure to BASIC mutilate your mind, do you think?",3
What possessive forms are used for mutual 1st person ownership?,What possessive forms are used for mutual ownership of 1st person?,5,"For mutual 1st person ownership, what possessive forms are used?",3
Is there a listings configuration for TikZ as used in PGF/TikZ manual?,Is there a TikZ configuration for listings as used in PGF/TikZ manual?,5,"As used in PGF/TikZ manual, is there a listings configuration for TikZ?",3
"What is the origin for meaning of ""Wild-card""?","What is the origin for meaning of ""Wild-card""?",5,"What is the origin of the meaning of ""Wild-card""?",5
How to prevent automatic new line when labeling point feature class?,How to label point feature class without automatic new line?,4,"When labeling point feature class, how to prevent automatic new line?",5
Can ArcGIS 10.1 use SQL on Definition Query to select minimum value?,Can SQL on Definition Query select maximum value in ArcGIS 10.1?,3,"Using SQL on Definition Query, can ArcGIS 10.1 select minimum value?",3
"Is there any reason to use C++ instead of C, Perl, Python, etc.?","Is there any reason to use C, Perl, Python, etc. instead of C++?",3,"Is there any reason to use C++ instead of C, Perl, Python, etc.?",4
Define a variable in TikZ,TikZ defines a variable in me.,2,"In TikZ, how do you define a variable?",5
Mathematical symbol for disjoint set union,Disjoint set union symbol for mathematics.,4,What is the mathematical symbol for disjoint set union?,5
What is the mass density distribution of an electron?,The electron's mass density distribution of me is what?,2,What is the mass density distribution of an electron?,5
"How do ""on hit"" effects work with channeled / DoT skills?","Channeled/DoT skills work with ""on hit"" effects, how?",4,"How do channeled/DoT skills work with ""on hit"" effects?",5
"The thing is, is that...","The thing is, that isn't.",3,The fact is that...,2
Is there a way to quick compare items on the ground with what you have equiped?,"Equipped items on the ground, is there a way to quick compare them?",4,Is there a way to quickly compare items on the ground with what is equipped?,5
How can I circumvent regional restrictions in Google's Play Store?,"Google Play Store's regional restrictions, how can I circumvent them?",4,"In Google's Play Store, how can I circumvent regional restrictions?",5
How to validate WordPress generated password in DB using PHP?,"PHP validates WordPress generated password in DB using me, how?",2,"In PHP, how can a WordPress generated password be validated in the DB?",4
Electric field due to nonconducting sphere,Nonconducting sphere due to electric field,2,Nonconducting sphere: electric field due to.,4
Webmaster tools showing 404 for non existent folder pages,Non-existent folder pages showing 404 for webmaster tools,3,Nonexistent folder pages showing 404 in webmaster tools,4
"Do I travel ""up"" or ""down"" to London from north of the city?","From north of the city, do I travel ""down"" or ""up"" to London?",5,"From north of the city, do I travel 'up' or 'down' to London?",5
